Date,CA,TX,FL,NY,PA
2023-03-31,700645.4179799431,293015.8131772372,378905.17843006994,430860.48899340304,243504.3657039361
2023-04-30,700071.7904416663,292651.8232505209,379344.0935129562,432344.784056338,244306.9513877692
2023-05-31,702993.4135758639,292966.31900722487,380382.6179616163,434774.06208135135,245814.70301571957
2023-06-30,708109.7829902968,293782.3185122137,382034.24642153975,437629.2118340351,247602.34858231
2023-07-31,715006.6916729155,294517.20052287,383713.9118593824,440656.7248473298,249341.67780220907
2023-08-31,722810.8305304198,295087.47752781684,385378.4427959201,443733.6241978132,251008.4309402468
2023-09-30,730268.5031107055,295124.7892957295,386536.027984815,446344.73323424393,252308.8684437288
2023-10-31,736332.4867966198,294898.327140074,387584.8841456923,448195.7114726337,253189.35262607376
2023-11-30,740671.9212453476,294417.7153495732,388504.5055350461,449741.47094542027,253718.39992653648
2023-12-31,743434.7291971656,293824.0604757306,389325.2454100919,451434.1829556527,254151.92753616255
